Courriel;Choix1;Choix2;Choix3;Choix4
jean.dupont@ens.etsmtl.ca; PFE_006; PFE_006; PFE_006; PFE_006
marie.lefebvre@ens.etsmtl.ca; PFE_021; PFE_012; PFE_022; PFE_004
pierre.martin@ens.etsmtl.ca; PFE_011; PFE_021; PFE_016; PFE_022
isabelle.tremblay@ens.etsmtl.ca; PFE_021; PFE_002; PFE_022; PFE_003
david.roy@ens.etsmtl.ca; PFE_006; PFE_006; PFE_006; PFE_006
sophie.gagnon@ens.etsmtl.ca; PFE_001; PFE_003; PFE_016; PFE_006
mathieu.boucher@ens.etsmtl.ca; PFE_019; PFE_019; PFE_019; PFE_012
emilie.richard@ens.etsmtl.ca; PFE_017; PFE_017; PFE_017; PFE_017
alexandre.pelletier@ens.etsmtl.ca; PFE_006; PFE_006; PFE_006; PFE_006
charlotte.lavoie@ens.etsmtl.ca; PFE_006; PFE_006; PFE_006; PFE_006
thomas.belanger@ens.etsmtl.ca; PFE_020; PFE_020; PFE_020; PFE_021
gabrielle.lapointe@ens.etsmtl.ca; PFE_019; PFE_019; PFE_019; PFE_012
olivier.gauthier@ens.etsmtl.ca; PFE_011; PFE_011; PFE_011; PFE_022
camille.bergeron@ens.etsmtl.ca; PFE_012; PFE_007; PFE_001; PFE_002
vincent.legrand@ens.etsmtl.ca; PFE_001; PFE_001; PFE_001; PFE_002
lea.fournier@ens.etsmtl.ca; PFE_003; PFE_018; PFE_020; PFE_004
nicolas.lemieux@ens.etsmtl.ca; PFE_003; PFE_021; PFE_012; PFE_MULTI_024
eloise.renaud@ens.etsmtl.ca; PFE_017; PFE_012; PFE_002; PFE_001
maxime.poirier@ens.etsmtl.ca; PFE_008; PFE_008; PFE_008; PFE_008
charlotte.morin@ens.etsmtl.ca; PFE_002; PFE_012; PFE_009; PFE_001
simon.caron@ens.etsmtl.ca; PFE_017; PFE_017; PFE_017; PFE_017
laurence.fortin@ens.etsmtl.ca; PFE_003; PFE_021; PFE_004; PFE_001
gabriel.girard@ens.etsmtl.ca; PFE_002; PFE_004; PFE_001; PFE_003
chloe.lamontagne@ens.etsmtl.ca; PFE_008; PFE_008; PFE_008; PFE_008
jules.beaulieu@ens.etsmtl.ca; PFE_019; PFE_019; PFE_019; PFE_012
sarah.turgeon@ens.etsmtl.ca; PFE_015; PFE_022; PFE_002; PFE_019
lucas.dufresne@ens.etsmtl.ca; PFE_021; PFE_002; PFE_015; PFE_021
clara.ouellet@ens.etsmtl.ca; PFE_003; PFE_014; PFE_008; PFE_004
tristan.laroche@ens.etsmtl.ca; PFE_017; PFE_017; PFE_017; PFE_003
lena.rivard@ens.etsmtl.ca; PFE_001; PFE_004; PFE_008; PFE_010
samuel.roy@ens.etsmtl.ca; PFE_003; PFE_020; PFE_008; PFE_001
noemie.bouchard@ens.etsmtl.ca; PFE_003; PFE_001; PFE_004; PFE_005
louis.levesque@ens.etsmtl.ca; PFE_003; PFE_018; PFE_020; PFE_021
camille.brunet@ens.etsmtl.ca; PFE_021; PFE_003; PFE_020; PFE_001
thomas.blanchard@ens.etsmtl.ca; PFE_011; PFE_011; PFE_011; PFE_003
juliette.martel@ens.etsmtl.ca; PFE_011; PFE_011; PFE_011; PFE_011
hugo.dion@ens.etsmtl.ca; PFE_001; PFE_001; PFE_001; PFE_002
rose.rousseau@ens.etsmtl.ca; PFE_021; PFE_012; PFE_003; PFE_007
adam.boucher@ens.etsmtl.ca; PFE_017; PFE_017; PFE_017; PFE_003
elise.robitaille@ens.etsmtl.ca; PFE_001; PFE_003; PFE_021; PFE_020
antoine.lacasse@ens.etsmtl.ca; PFE_022; PFE_002; PFE_007; PFE_021
elodie.beauchemin@ens.etsmtl.ca; PFE_003; PFE_021; PFE_001; PFE_002
theo.mercier@ens.etsmtl.ca; PFE_021; PFE_012; PFE_022; PFE_013
jade.vallee@ens.etsmtl.ca; PFE_MULTI_024; PFE_007; PFE_003; PFE_001
felix.fournier@ens.etsmtl.ca; PFE_016; PFE_010; PFE_015; PFE_019
lila.grenier@ens.etsmtl.ca; PFE_003; PFE_003; PFE_003; PFE_003
emile.dubois@ens.etsmtl.ca; PFE_002; PFE_009; PFE_019; PFE_012
